"DOWNTIME_ID","START_TIME","END_TIME","MACHINE_NO","REASON","NOTES"
"2549","03-MAY-21 02.42.08.000000 PM UTC","03-MAY-21 02.42.53.000000 PM UTC","6","Productivity loss",""
"2550","03-MAY-21 02.44.00.000000 PM UTC","03-MAY-21 02.44.42.000000 PM UTC","6","Productivity loss",""
"2582","04-MAY-21 05.20.18.000000 PM UTC","04-MAY-21 05.21.01.000000 PM UTC","10","Productivity loss",""
"2586","04-MAY-21 05.19.26.000000 PM UTC","04-MAY-21 06.39.40.000000 PM UTC","9","",""
"2587","04-MAY-21 05.23.17.000000 PM UTC","04-MAY-21 06.39.41.000000 PM UTC","10","",""
"2605","05-MAY-21 08.03.03.000000 AM UTC","05-MAY-21 08.03.52.000000 AM UTC","10","Productivity loss",""
"2609","05-MAY-21 08.28.22.000000 AM UTC","05-MAY-21 08.29.49.000000 AM UTC","10","Productivity loss",""
"2610","05-MAY-21 08.29.53.000000 AM UTC","05-MAY-21 08.30.36.000000 AM UTC","10","Productivity loss",""
"2626","05-MAY-21 09.32.13.000000 AM UTC","05-MAY-21 09.43.09.000000 AM UTC","9","",""
"2627","05-MAY-21 09.45.13.000000 AM UTC","05-MAY-21 09.46.52.000000 AM UTC","3","Productivity loss",""
"2628","05-MAY-21 09.45.13.000000 AM UTC","05-MAY-21 09.47.00.000000 AM UTC","6","Productivity loss",""
"2629","05-MAY-21 09.45.13.000000 AM UTC","05-MAY-21 09.47.34.000000 AM UTC","10","Productivity loss",""
"2630","05-MAY-21 09.47.55.000000 AM UTC","05-MAY-21 09.48.55.000000 AM UTC","10","Productivity loss",""
"2631","05-MAY-21 09.45.13.000000 AM UTC","05-MAY-21 09.49.32.000000 AM UTC","9","Productivity loss",""
"2632","05-MAY-21 09.49.15.000000 AM UTC","05-MAY-21 09.50.20.000000 AM UTC","6","Productivity loss",""
"2635","05-MAY-21 09.51.33.000000 AM UTC","05-MAY-21 09.53.37.000000 AM UTC","3","Productivity loss",""
"2636","05-MAY-21 09.51.19.000000 AM UTC","05-MAY-21 09.54.21.000000 AM UTC","9","Productivity loss",""
"2637","05-MAY-21 09.53.55.000000 AM UTC","05-MAY-21 09.54.37.000000 AM UTC","10","Productivity loss",""
"2640","05-MAY-21 09.55.38.000000 AM UTC","05-MAY-21 09.57.46.000000 AM UTC","6","Productivity loss",""
"2641","05-MAY-21 09.54.54.000000 AM UTC","05-MAY-21 09.58.03.000000 AM UTC","9","Productivity loss",""
"2642","05-MAY-21 09.58.06.000000 AM UTC","05-MAY-21 09.59.00.000000 AM UTC","6","Productivity loss",""
"2644","05-MAY-21 10.08.13.000000 AM UTC","05-MAY-21 10.09.33.000000 AM UTC","6","Productivity loss",""
"2645","05-MAY-21 10.08.19.000000 AM UTC","05-MAY-21 10.11.24.000000 AM UTC","10","Productivity loss",""
"2647","05-MAY-21 10.11.28.000000 AM UTC","05-MAY-21 10.13.12.000000 AM UTC","10","Productivity loss",""
"2648","05-MAY-21 10.13.40.000000 AM UTC","05-MAY-21 10.14.38.000000 AM UTC","10","Productivity loss",""
"2649","05-MAY-21 10.17.01.000000 AM UTC","05-MAY-21 10.20.05.000000 AM UTC","3","Productivity loss",""
"2650","05-MAY-21 10.19.44.000000 AM UTC","05-MAY-21 10.20.38.000000 AM UTC","10","Productivity loss",""
"2652","05-MAY-21 10.26.53.000000 AM UTC","05-MAY-21 10.28.12.000000 AM UTC","9","Productivity loss",""
"2654","05-MAY-21 10.33.48.000000 AM UTC","05-MAY-21 10.34.29.000000 AM UTC","6","Productivity loss",""
"2657","05-MAY-21 10.37.15.000000 AM UTC","05-MAY-21 10.52.49.000000 AM UTC","6","",""
"2662","05-MAY-21 11.08.25.000000 AM UTC","05-MAY-21 11.09.36.000000 AM UTC","9","Productivity loss",""
"2664","05-MAY-21 11.21.16.000000 AM UTC","05-MAY-21 11.22.08.000000 AM UTC","3","Productivity loss",""
"2665","05-MAY-21 11.28.20.000000 AM UTC","05-MAY-21 11.29.33.000000 AM UTC","9","Productivity loss",""
"2666","05-MAY-21 11.28.50.000000 AM UTC","05-MAY-21 11.29.56.000000 AM UTC","10","Productivity loss",""
"2667","05-MAY-21 11.28.55.000000 AM UTC","05-MAY-21 11.30.20.000000 AM UTC","3","Productivity loss",""
"2668","05-MAY-21 11.30.24.000000 AM UTC","05-MAY-21 11.31.16.000000 AM UTC","3","Productivity loss",""
"2669","05-MAY-21 11.29.56.000000 AM UTC","05-MAY-21 11.31.24.000000 AM UTC","9","Productivity loss",""
"2670","05-MAY-21 11.37.25.000000 AM UTC","05-MAY-21 11.38.09.000000 AM UTC","9","Productivity loss",""
"2671","05-MAY-21 11.37.07.000000 AM UTC","05-MAY-21 11.39.08.000000 AM UTC","10","Productivity loss",""
"2672","05-MAY-21 11.41.01.000000 AM UTC","05-MAY-21 11.42.50.000000 AM UTC","9","Productivity loss",""
"2673","05-MAY-21 11.45.54.000000 AM UTC","05-MAY-21 11.46.41.000000 AM UTC","9","Productivity loss",""
"2676","05-MAY-21 11.59.54.000000 AM UTC","05-MAY-21 12.35.17.000000 PM UTC","6","",""
"2685","05-MAY-21 12.59.43.000000 PM UTC","05-MAY-21 01.00.25.000000 PM UTC","9","Productivity loss",""
"2693","05-MAY-21 01.38.16.000000 PM UTC","05-MAY-21 01.43.23.000000 PM UTC","6","",""
"2769","06-MAY-21 08.33.17.000000 AM UTC","06-MAY-21 08.43.57.000000 AM UTC","10","",""
"2771","06-MAY-21 08.40.00.000000 AM UTC","06-MAY-21 08.48.27.000000 AM UTC","3","",""
"2773","06-MAY-21 08.56.44.000000 AM UTC","06-MAY-21 08.57.32.000000 AM UTC","3","Productivity loss",""
"2774","06-MAY-21 09.02.13.000000 AM UTC","06-MAY-21 09.02.56.000000 AM UTC","3","Productivity loss",""
"2777","06-MAY-21 09.07.12.000000 AM UTC","06-MAY-21 09.07.55.000000 AM UTC","3","Productivity loss",""
"2778","06-MAY-21 09.07.59.000000 AM UTC","06-MAY-21 09.10.02.000000 AM UTC","3","Productivity loss",""
"2780","06-MAY-21 09.12.29.000000 AM UTC","06-MAY-21 09.13.15.000000 AM UTC","10","Productivity loss",""
"2781","06-MAY-21 09.15.14.000000 AM UTC","06-MAY-21 09.15.59.000000 AM UTC","3","Productivity loss",""
"2782","06-MAY-21 09.15.53.000000 AM UTC","06-MAY-21 09.16.34.000000 AM UTC","10","Productivity loss",""
"2783","06-MAY-21 09.16.03.000000 AM UTC","06-MAY-21 09.19.30.000000 AM UTC","3","Productivity loss",""
"2784","06-MAY-21 09.22.28.000000 AM UTC","06-MAY-21 09.23.28.000000 AM UTC","10","Productivity loss",""
"2791","06-MAY-21 10.00.37.000000 AM UTC","06-MAY-21 10.03.23.000000 AM UTC","4","Productivity loss",""
"2792","06-MAY-21 09.24.43.000000 AM UTC","06-MAY-21 10.07.14.000000 AM UTC","6","",""
"2796","06-MAY-21 10.13.12.000000 AM UTC","06-MAY-21 10.13.53.000000 AM UTC","4","Productivity loss",""
"2798","06-MAY-21 10.17.14.000000 AM UTC","06-MAY-21 10.17.59.000000 AM UTC","6","Productivity loss",""
"2800","06-MAY-21 10.18.45.000000 AM UTC","06-MAY-21 10.20.01.000000 AM UTC","4","Productivity loss",""
"2801","06-MAY-21 10.21.47.000000 AM UTC","06-MAY-21 10.22.41.000000 AM UTC","6","Productivity loss",""
"2802","06-MAY-21 10.19.53.000000 AM UTC","06-MAY-21 10.24.14.000000 AM UTC","10","Productivity loss",""
"2805","06-MAY-21 10.25.53.000000 AM UTC","06-MAY-21 10.26.53.000000 AM UTC","10","Productivity loss",""
